epoch : [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]
loss : [0.03678824509471716, 0.015087501008319229, 0.012095461339868557, 0.011200412855522188, 0.010615216743335055, 0.010246903294120807, 0.010063251256375895, 0.009884087850080936, 0.00975934096004883, 0.009656550829474607, 0.009619874397449504, 0.009527594975053668, 0.009503195134905773, 0.009435629861913337, 0.009454541198996672, 0.009382626460732556, 0.009382712752197365, 0.009373369821704385, 0.00930649188950476, 0.009327822811411477, 0.009230787691628193, 0.009276520091872607, 0.009324857545876336, 0.00928332843372586, 0.009260234237130556, 0.009256221682605606, 0.009176682174357253, 0.009180710096635828, 0.00920503994067347, 0.009194910281820066, 0.00918371949869213, 0.009188278383808764, 0.0091457930899109, 0.009139352823244936, 0.009119498146348614, 0.009137440303744733, 0.009123038086626265, 0.009130534796845207, 0.00916983916018708, 0.009119023655580065, 0.009131083262295276, 0.009126773762106636, 0.00911739892518937, 0.009090160600262394, 0.009145994527277854, 0.009137766503949015, 0.009136537945612186, 0.009114585069701635, 0.009122473383672967, 0.009159570743939043, 0.009137648467330551, 0.009101581271329458, 0.009114340193927487, 0.00907303102566604, 0.009090304490074686, 0.009136683814792091, 0.009126437305671928, 0.009109656489590756, 0.009104754508204757, 0.009093432322975303, 0.00904345924761291, 0.0090769094057478, 0.009093017628828864, 0.009103688262921558, 0.009078592554893286, 0.009134354587673272, 0.009136201619034945, 0.009138901050136563, 0.009108808355423346, 0.009090865953424041, 0.009135334880780183]
val_PSNR_Loss : [23.60431480407715, 22.643857955932617, 22.265361785888672, 21.913890838623047, 22.470870971679688, 21.46622657775879, 21.39417839050293, 21.98931312561035, 21.783695220947266, 21.751659393310547, 21.328800201416016, 21.865612030029297, 20.759929656982422, 21.684921264648438, 22.162799835205078, 21.733501434326172, 22.371761322021484, 21.36733627319336, 21.69347381591797, 21.840057373046875, 22.790185928344727, 21.974105834960938, 21.9906005859375, 21.865760803222656, 21.835853576660156, 22.018924713134766, 21.950538635253906, 21.637033462524414, 21.88720703125, 21.907424926757812, 22.2427978515625, 22.066513061523438, 22.053691864013672, 21.84463882446289, 21.99666976928711, 21.92919158935547, 21.82925796508789, 22.00780487060547, 21.723390579223633, 22.049884796142578, 21.976520538330078, 21.904823303222656, 21.767295837402344, 21.826454162597656, 21.916107177734375, 21.851726531982422, 22.039867401123047, 21.94568634033203, 22.20206642150879, 21.682058334350586, 21.964385986328125, 21.928722381591797, 21.91189956665039, 22.051544189453125, 21.777896881103516, 21.885364532470703, 21.820316314697266, 21.770347595214844, 21.8856258392334, 21.83460235595703, 21.8941650390625, 21.946502685546875, 21.953533172607422, 21.77437973022461, 21.953231811523438, 21.776817321777344, 21.894142150878906, 21.863304138183594, 21.859519958496094, 21.881193161010742, 21.865318298339844]
SSIM_Loss : [0.9281584, 0.95143336, 0.9555677, 0.95500785, 0.957553, 0.9565638, 0.9577321, 0.95657843, 0.9567128, 0.95833296, 0.9576603, 0.957817, 0.95824105, 0.9589062, 0.9577868, 0.9581833, 0.95922166, 0.95895267, 0.95976776, 0.95853776, 0.9599593, 0.9597909, 0.95713973, 0.95945394, 0.9593178, 0.9602535, 0.9623675, 0.96240103, 0.96125525, 0.9611802, 0.96179956, 0.9617389, 0.9629953, 0.9628912, 0.96318376, 0.96251726, 0.9631178, 0.9629995, 0.96278, 0.96273685, 0.96323425, 0.9632887, 0.9631722, 0.9633399, 0.962601, 0.963008, 0.9632502, 0.9628787, 0.96239275, 0.9630329, 0.9633029, 0.9637907, 0.9632499, 0.964029, 0.96351355, 0.9633019, 0.96347547, 0.9635457, 0.96348715, 0.96379274, 0.96431625, 0.9641386, 0.9638656, 0.96382195, 0.9639407, 0.96337736, 0.96335965, 0.9636844, 0.96379983, 0.9638994, 0.9637824]
real_lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 1.0000001e-06]
PSNR_Loss : [20.039524, 20.410044, 20.503225, 20.489496, 20.527151, 20.549532, 20.5407, 20.555204, 20.563564, 20.577942, 20.556587, 20.5841, 20.576128, 20.59658, 20.573908, 20.598928, 20.591568, 20.584875, 20.619116, 20.594738, 20.643782, 20.61762, 20.58803, 20.611225, 20.619726, 20.610847, 20.656862, 20.648144, 20.638578, 20.642153, 20.646242, 20.641233, 20.663233, 20.668423, 20.676441, 20.668154, 20.672955, 20.668163, 20.64902, 20.677057, 20.669378, 20.669975, 20.679855, 20.689247, 20.662024, 20.662813, 20.66833, 20.677208, 20.667635, 20.65202, 20.66089, 20.68905, 20.675135, 20.693867, 20.68851, 20.66081, 20.66928, 20.675539, 20.686094, 20.689175, 20.712103, 20.696726, 20.68832, 20.683949, 20.69184, 20.667603, 20.665737, 20.659634, 20.68179, 20.689276, 20.665411]
val_SSIM_Loss : [0.9526285529136658, 0.9506109952926636, 0.9469817876815796, 0.9481695890426636, 0.9434625506401062, 0.9332705736160278, 0.9405390024185181, 0.968971312046051, 0.950433611869812, 0.9328542947769165, 0.9388562440872192, 0.9527047276496887, 0.9120908975601196, 0.9571302533149719, 0.9597434997558594, 0.9378490447998047, 0.9585703611373901, 0.918580174446106, 0.9505544304847717, 0.9497909545898438, 0.9658271074295044, 0.9560684561729431, 0.9504903554916382, 0.9578467011451721, 0.945391058921814, 0.9576194286346436, 0.9527484774589539, 0.9558241367340088, 0.963528037071228, 0.9605914950370789, 0.9633166193962097, 0.962041974067688, 0.9555847644805908, 0.9568175077438354, 0.956792950630188, 0.95786452293396, 0.9544885754585266, 0.9615657925605774, 0.953649640083313, 0.9614818096160889, 0.9628762006759644, 0.9463262557983398, 0.9549022912979126, 0.9557125568389893, 0.9592498540878296, 0.9607661366462708, 0.9582341909408569, 0.9565655589103699, 0.9605211615562439, 0.9571338891983032, 0.959419846534729, 0.9563518166542053, 0.9574503898620605, 0.9592843055725098, 0.9553333520889282, 0.9591255187988281, 0.9574345350265503, 0.9560073614120483, 0.9612160325050354, 0.9588125944137573, 0.9569482207298279, 0.9583714604377747, 0.959105372428894, 0.9562082886695862, 0.9556891918182373, 0.9561705589294434, 0.9592370986938477, 0.9589507579803467, 0.9576756358146667, 0.9581185579299927, 0.9582234621047974]
lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06]
val_loss : [0.014152486787901984, 0.009530814281768269, 0.008692182083096769, 0.008569414209988382, 0.007340041289312972, 0.008621749488843812, 0.00855950607607762, 0.007502239776982202, 0.007714352715346548, 0.007696599047631025, 0.008365473792784744, 0.007425990452369054, 0.009340865454739994, 0.0076619099722140364, 0.006900945730093453, 0.007505789678543806, 0.006579989277654224, 0.008087728534721665, 0.007555214802010192, 0.007302713404513068, 0.005977881182399061, 0.007105220305836863, 0.007059756169716517, 0.007269532833662298, 0.007287976797670126, 0.0070089204133384755, 0.007104008334378401, 0.007609428320493963, 0.0072080085157520245, 0.007163653295073244, 0.006685665249824524, 0.006921062959978978, 0.006934472556329436, 0.007255710040529569, 0.0070241215431855785, 0.0071293682480851805, 0.00727976734439532, 0.007007354984266891, 0.0074489357570807135, 0.006942419656034973, 0.007058789384447866, 0.00714292468296157, 0.007372486850039827, 0.007279531854308314, 0.0071460480491320295, 0.007253760451243984, 0.0069614561688568855, 0.007096084300428629, 0.006710821814421151, 0.007514763188858827, 0.007071543836759196, 0.0071210680839916074, 0.007147433029280769, 0.006937549294282992, 0.0073591946417258846, 0.007192743621352646, 0.007291389029059145, 0.007368086164610254, 0.00719375257483787, 0.0072691069915890695, 0.007170494976970885, 0.007096290578030877, 0.007083801004207796, 0.007361017260700464, 0.007076343707740307, 0.007358024879876111, 0.007176664823459254, 0.007224833406507969, 0.007227591683881151, 0.007194049304558171, 0.007220004240257872]
