epoch : [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
loss : [0.026669470719545264, 0.020570561576817855, 0.016184810459450947, 0.012886712694021522, 0.010399250485654411, 0.008509606481758787, 0.007059896165311662, 0.005936504158959851, 0.005054629560498918, 0.004351797405772848, 0.003782883467396996, 0.0033151317901827923, 0.003042387758264613, 0.0029256975967844163, 0.0028126483638083837, 0.002703121121301026, 0.0025972436772547457]
val_PSNR_Loss : [38.18836975097656, 39.85063934326172, 40.63795471191406, 41.154518127441406, 41.522579193115234, 41.760711669921875, 41.87005615234375, 41.84169006347656, 41.79975128173828, 41.71803283691406, 41.63405227661133, 41.562320709228516, 41.555641174316406, 41.5413932800293, 41.520896911621094, 41.509178161621094, 41.48674774169922]
SSIM_Loss : [0.98793274, 0.99985826, 0.9999574, 0.99997294, 0.99997675, 0.99997777, 0.9999781, 0.9999761, 0.9999747, 0.9999731, 0.999971, 0.9999694, 0.99996907, 0.9999694, 0.999969, 0.9999689, 0.9999683]
real_lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.000100000005]
PSNR_Loss : [34.70664, 39.57114, 40.737843, 41.4015, 41.82847, 42.122196, 42.29209, 42.32084, 42.311428, 42.234226, 42.162533, 42.099457, 42.061424, 42.039352, 42.02427, 42.007328, 41.99019]
val_SSIM_Loss : [0.9996927380561829, 0.9999054670333862, 0.9999617338180542, 0.9999775886535645, 0.9999766945838928, 0.9999779462814331, 0.9999740123748779, 0.9999716877937317, 0.9999731183052063, 0.9999722838401794, 0.9999719858169556, 0.9999576807022095, 0.9999640583992004, 0.999967098236084, 0.999967098236084, 0.999964714050293, 0.9999668598175049]
lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278]
val_loss : [0.02308511845767498, 0.018078916726840866, 0.014312814569307698, 0.01147864583051867, 0.009333694063954883, 0.007696316215313143, 0.006433302122685645, 0.005448613812526067, 0.004669339365015427, 0.004043160151276324, 0.003531951540046268, 0.003108307041434778, 0.002989443319125308, 0.0028747682821833424, 0.002763587355406748, 0.0026559870897067918, 0.0025520968457890883]
