epoch : [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]
loss : [0.033922428125862485, 0.01358317587002675, 0.011752386340943196, 0.011328471616813274, 0.011160675782275135, 0.011069232351572516, 0.01107720037950901, 0.010997595437925636, 0.0109847441950704, 0.01096920058013714, 0.010937106583777029, 0.010965836563136239, 0.010908046534781241, 0.010917484076074544, 0.010999956248981448, 0.010935827470456133, 0.01090635038966508, 0.010933223262400895, 0.010905684425276648, 0.010948431400299063, 0.010923598331890388, 0.010890699032522037, 0.010927964274811746, 0.010930948265248068, 0.010872234686893818, 0.010935555712477419, 0.010863833772578024, 0.010866351198315865, 0.010886780826564135, 0.010854519191254883, 0.010865468032012124, 0.010841038300514656, 0.01087508724674991, 0.010807702060448055, 0.010888925984999017, 0.010820933663466287, 0.010833829538009494, 0.010897914454781154, 0.010833191451737677, 0.010813901678139849, 0.010808020282491278, 0.010906332682326311, 0.010844496032827096, 0.010817733471248692]
val_PSNR_Loss : [24.247459411621094, 24.13512420654297, 24.328947067260742, 24.39891242980957, 24.233264923095703, 24.278305053710938, 24.492706298828125, 24.55154800415039, 24.58047103881836, 24.580150604248047, 24.51593780517578, 24.583166122436523, 24.644912719726562, 24.626129150390625, 24.715864181518555, 24.480926513671875, 24.615869522094727, 24.73213005065918, 24.68741226196289, 24.604583740234375, 24.652278900146484, 24.84531021118164, 24.897939682006836, 24.679370880126953, 24.835784912109375, 24.878803253173828, 24.842689514160156, 24.953994750976562, 24.90012550354004, 24.941558837890625, 24.704933166503906, 24.991497039794922, 24.959835052490234, 24.96603012084961, 24.708091735839844, 24.991714477539062, 25.002159118652344, 24.772602081298828, 24.969921112060547, 24.963951110839844, 24.9283447265625, 24.87091636657715, 24.890634536743164, 24.996074676513672]
SSIM_Loss : [0.88533753, 0.8925116, 0.89295465, 0.89412546, 0.8950282, 0.8957931, 0.8965258, 0.89759004, 0.8982696, 0.899231, 0.9005444, 0.9002999, 0.9014963, 0.9024878, 0.90276223, 0.9034655, 0.90383583, 0.9048012, 0.90485436, 0.90525264, 0.9059522, 0.90604097, 0.90615195, 0.9071022, 0.90766776, 0.9084216, 0.90833753, 0.90888697, 0.9091552, 0.9095879, 0.909757, 0.90990305, 0.91042495, 0.9108707, 0.91064787, 0.91177195, 0.911432, 0.9116976, 0.91217554, 0.9124308, 0.91200805, 0.9125227, 0.9125134, 0.91264725]
real_lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.000100000005]
PSNR_Loss : [19.542152, 19.561779, 19.56573, 19.581097, 19.59098, 19.599379, 19.582245, 19.608728, 19.613104, 19.625195, 19.6343, 19.62021, 19.645035, 19.638384, 19.609655, 19.631405, 19.648788, 19.632565, 19.641975, 19.628563, 19.633944, 19.64953, 19.634542, 19.632736, 19.661615, 19.63348, 19.66347, 19.660969, 19.653994, 19.662952, 19.662064, 19.672554, 19.654991, 19.68493, 19.650627, 19.67944, 19.671131, 19.6484, 19.671127, 19.681438, 19.681627, 19.645704, 19.67225, 19.678259]
val_SSIM_Loss : [0.93215411901474, 0.9258919358253479, 0.931572437286377, 0.9333465099334717, 0.9276928901672363, 0.928428053855896, 0.9350172281265259, 0.9371275305747986, 0.9387471675872803, 0.9374408721923828, 0.9347655773162842, 0.9372609853744507, 0.93869549036026, 0.9374198913574219, 0.9417330622673035, 0.9316589832305908, 0.9356710910797119, 0.9382873177528381, 0.9380100965499878, 0.9365637302398682, 0.9379650354385376, 0.9439542293548584, 0.9443321228027344, 0.9340342879295349, 0.9391332864761353, 0.9406753182411194, 0.9401645064353943, 0.943966269493103, 0.9413771629333496, 0.9431568384170532, 0.9358072280883789, 0.9472206830978394, 0.9459975957870483, 0.9438803195953369, 0.9355830550193787, 0.9451559782028198, 0.9461898803710938, 0.938158392906189, 0.9439948797225952, 0.9438477754592896, 0.9426435232162476, 0.9411892890930176, 0.9417980909347534, 0.9443974494934082]
lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278]
val_loss : [0.009297453612089158, 0.004966332949697972, 0.004170165956020355, 0.003870286394117607, 0.0039068703022268085, 0.003824501820943422, 0.003631406624077095, 0.003575395673720373, 0.003550356388505962, 0.0035462264695929157, 0.003592789297302564, 0.0035406408107115164, 0.003492271046464642, 0.003504210632915298, 0.003437916680963503, 0.003613203494913048, 0.0035084083107196624, 0.003417695029121306, 0.0034535064361989496, 0.0035187257246838675, 0.0034812388838165336, 0.003339089225563738, 0.0033069206298225458, 0.0034515867682380808, 0.0033361509804510406, 0.003305790625098679, 0.003333822353225615, 0.003255264191991753, 0.003291817671722836, 0.00326354854947163, 0.003436302352282736, 0.0032327053344084157, 0.0032524104023145305, 0.0032430591475632454, 0.0034321725058058896, 0.0032273915596306322, 0.0032238790817144844, 0.0033895997123585806, 0.0032444942742586138, 0.0032485542353242634, 0.0032741202817608912, 0.003316139072800676, 0.003302483322719733, 0.0032263708714809682]
