epoch : [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]
loss : [0.022986484550082526, 0.013107332069279748, 0.011325109456862884, 0.010543992680876656, 0.010129473041660203, 0.009932862890678629, 0.00974858268885962, 0.00968784486391157, 0.009630161538167448, 0.009575673830862996, 0.009590182504617416, 0.009517122260525876, 0.009399613313569397, 0.009425840203417501, 0.009425096656376652, 0.009423691022325612, 0.009421419150794311, 0.009385512806362973, 0.009370664324163256, 0.009379041081663167, 0.00937632250028724, 0.009326430422900918, 0.009377300449366388, 0.009339536082062002, 0.009358609988157667, 0.00937676777212012, 0.009386271772476616, 0.009316714555944343, 0.009374601529023386, 0.009349224296401702, 0.009322593822155806, 0.009417379103195568, 0.009350708576796157, 0.009323644517339443, 0.009320962406006635, 0.009346438904246678, 0.00932052839585186, 0.009358847972591944, 0.009351307618049268, 0.00935643710320608, 0.00933390563723361, 0.009402612959102193, 0.009334814521150852, 0.009336175776904465, 0.009305655352278662, 0.009377138854787852, 0.009325899373439408, 0.009366149803451435, 0.009342699448072762, 0.009343247088922677, 0.009336127298633881, 0.009371614694708475, 0.009314867017596115, 0.009320433897979381, 0.009322227955479774]
val_PSNR_Loss : [23.082462310791016, 22.33888053894043, 21.616249084472656, 21.941650390625, 21.737716674804688, 22.081462860107422, 21.59227752685547, 21.424922943115234, 21.790237426757812, 21.82382583618164, 22.170154571533203, 21.42348289489746, 21.559419631958008, 22.224166870117188, 21.47295379638672, 21.99799919128418, 22.0575008392334, 22.095802307128906, 21.757911682128906, 21.8087158203125, 21.682397842407227, 21.918621063232422, 21.677133560180664, 21.766740798950195, 21.562782287597656, 21.96849822998047, 21.45616912841797, 21.85123062133789, 21.865825653076172, 21.842823028564453, 21.864334106445312, 21.777963638305664, 21.699371337890625, 21.879459381103516, 21.796497344970703, 21.89532470703125, 21.9278564453125, 21.93675994873047, 21.652198791503906, 21.61269187927246, 21.87128257751465, 21.62082290649414, 21.71340560913086, 21.75310516357422, 21.766162872314453, 21.667055130004883, 21.73363494873047, 21.67354965209961, 21.72158432006836, 21.7529296875, 21.747112274169922, 21.70671844482422, 21.7974910736084, 21.7528076171875, 21.73058319091797]
SSIM_Loss : [0.9352308, 0.95008016, 0.95136255, 0.9533626, 0.95274657, 0.9524283, 0.95282626, 0.95343065, 0.9530768, 0.95259786, 0.9525858, 0.9534774, 0.95596105, 0.9555655, 0.9553527, 0.95553666, 0.9552075, 0.9552935, 0.9561979, 0.9563514, 0.9565353, 0.9569754, 0.9561512, 0.95654327, 0.9563578, 0.95628107, 0.9562853, 0.95673156, 0.9565441, 0.9567049, 0.95732194, 0.9561479, 0.956629, 0.9573387, 0.95714074, 0.95681524, 0.9574625, 0.9566933, 0.956816, 0.9570174, 0.9567678, 0.9563631, 0.95751864, 0.9571707, 0.95753235, 0.9565601, 0.9571234, 0.9569783, 0.95705473, 0.95694786, 0.9572757, 0.9566424, 0.9573966, 0.95730853, 0.9574356]
real_lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 1.0000001e-06]
PSNR_Loss : [20.093931, 20.366087, 20.378323, 20.401306, 20.416327, 20.406443, 20.431196, 20.41512, 20.414152, 20.422401, 20.39493, 20.422548, 20.479008, 20.4629, 20.45655, 20.45582, 20.45773, 20.470055, 20.479979, 20.474354, 20.476448, 20.49604, 20.475822, 20.49198, 20.482552, 20.472576, 20.470028, 20.50007, 20.476345, 20.48672, 20.5005, 20.45294, 20.482193, 20.500748, 20.496716, 20.48848, 20.504648, 20.480959, 20.482012, 20.481932, 20.496544, 20.460712, 20.498428, 20.48843, 20.505108, 20.470512, 20.493736, 20.477636, 20.489388, 20.48865, 20.4874, 20.474754, 20.501175, 20.502314, 20.496872]
val_SSIM_Loss : [0.9580879211425781, 0.9483705759048462, 0.9283738136291504, 0.9415055513381958, 0.9533894062042236, 0.94870924949646, 0.9388218522071838, 0.9306615591049194, 0.9418495893478394, 0.9489080309867859, 0.952823281288147, 0.9438502788543701, 0.9348649978637695, 0.9561957120895386, 0.9407050609588623, 0.9535967111587524, 0.946459174156189, 0.9562510251998901, 0.9468364119529724, 0.9533325433731079, 0.9502803087234497, 0.946912407875061, 0.9451730847358704, 0.9464753866195679, 0.9400339126586914, 0.9528026580810547, 0.9396185874938965, 0.9486605525016785, 0.9514021873474121, 0.9505256414413452, 0.9522449374198914, 0.9511522054672241, 0.948219358921051, 0.950509786605835, 0.9478205442428589, 0.9504754543304443, 0.9504029154777527, 0.9510672092437744, 0.9475622177124023, 0.9452959895133972, 0.9494025111198425, 0.9455885291099548, 0.948511004447937, 0.9482296705245972, 0.9475476741790771, 0.9455772638320923, 0.9464932084083557, 0.9458262324333191, 0.9464151263237, 0.9465150833129883, 0.9477345943450928, 0.9465693235397339, 0.948328971862793, 0.9468990564346313, 0.9473154544830322]
lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 0.000100000005, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 3.1622778e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 1.0000001e-05, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06, 3.1622778e-06]
val_loss : [0.010828574001789094, 0.008718611858785152, 0.00876258017702235, 0.00772763400649031, 0.007772837227417363, 0.007072298870318466, 0.007733470915506284, 0.007947015596760644, 0.007282152378724681, 0.00721239254085554, 0.006662909852133857, 0.0078035154276423985, 0.007574852866431077, 0.00653375130560663, 0.007699739198303885, 0.006859829721765386, 0.006761531428330475, 0.0067223082193069985, 0.007231503021385935, 0.007152626518574026, 0.007350611345221599, 0.006974487430933449, 0.007356852365450727, 0.007215593175755606, 0.007545473530060715, 0.0069043181733124785, 0.0077185415248903965, 0.00707980292952723, 0.007058296849330266, 0.007086147554218769, 0.007057864487999015, 0.007194395715163814, 0.007317276298999786, 0.007033371107859744, 0.007158893170870013, 0.007005466386261913, 0.006955983179310957, 0.006941668233937688, 0.007394299418148067, 0.007458432463722096, 0.007045209169801739, 0.007440636958926916, 0.007297579778565301, 0.007231425897528728, 0.0072101100347936155, 0.007369180127150482, 0.007260073804193073, 0.007359732263204124, 0.007281006334556473, 0.0072323308326303955, 0.007243289498405324, 0.007305453728056617, 0.007161462338020405, 0.00723030703763167, 0.007267927337023947]
