epoch : [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
loss : [0.013503079773363078, 0.008777388403117467, 0.007457471310052925, 0.006881025794363259, 0.006546572697265464, 0.006296161750104067, 0.0062925529474046225, 0.006254438488962822, 0.006166697169343631, 0.006206481898026941, 0.006126644657040539, 0.006190337913317813, 0.006157106220445267, 0.006120679313590946, 0.006149194981781201, 0.006145662393696685]
val_PSNR_Loss : [27.209712982177734, 27.524585723876953, 27.8673152923584, 28.19851303100586, 27.569747924804688, 27.037437438964844, 26.460773468017578, 26.956575393676758, 26.175270080566406, 26.57224464416504, 27.623332977294922, 26.974594116210938, 26.962278366088867, 27.42395782470703, 27.284061431884766, 27.356037139892578]
SSIM_Loss : [0.9739108, 0.98397166, 0.98435724, 0.98385245, 0.9836401, 0.9841984, 0.9835781, 0.98319227, 0.98401755, 0.9837742, 0.9841148, 0.9839838, 0.9842144, 0.9844161, 0.98435956, 0.98424387]
real_lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.000100000005]
PSNR_Loss : [22.037508, 22.332232, 22.380823, 22.3421, 22.353218, 22.397715, 22.324087, 22.310066, 22.3458, 22.308504, 22.353453, 22.31006, 22.32855, 22.35295, 22.326382, 22.322876]
val_SSIM_Loss : [0.9604434967041016, 0.9773162603378296, 0.9814766645431519, 0.9823673963546753, 0.9703675508499146, 0.959067165851593, 0.9534891843795776, 0.9689391255378723, 0.948238730430603, 0.9617298245429993, 0.976669192314148, 0.9681794047355652, 0.9648087620735168, 0.9737265110015869, 0.9723670482635498, 0.9740357995033264]
lr : [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278, 0.0003162278]
val_loss : [0.0059578743763268, 0.003953862122984396, 0.002972374918560187, 0.002397476291904847, 0.0023996766397936476, 0.002500398037955165, 0.002724169355092777, 0.0024423095087210338, 0.002810609392407868, 0.0025867399604370196, 0.0020806962908763026, 0.002369761477328009, 0.002344161406573322, 0.0021601048117089604, 0.0022219766966170736, 0.002187086478807032]
